Company Name,Ticker,Q(1) Consensus Sales Est. (Mil.),% Change F1 Est. (4 weeks),% Change Q2 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q0 Est. (4 weeks),Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Yr's EPS (F0) Before NRI,12 Mo Trailing EPS,% Rating Downgrades ,% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),St. Dev. F1 / F1 Consensus,5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),% Ratio of Q1/prior Yr Q1 Actual Q(-3),% Ratio of Q1/Q0,This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),F0 Consensus Est.,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Earnings ESP (Expected Surprise Prediction),F2 Consensus Est.,F1 Consensus Est.,% Rating Upgrades ,% Rating Hold,Beta,% Price Change (12 Weeks),% Price Change (4 Weeks),Last Close,52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range,Shares Outstanding ,Avg Volume,Market Cap ,Sector,Optionable,Industry,Average Target Price,# of Brokers in Rating,Change in Avg Rec ,Rank in Industry (of ABR),% Rating Change - 4 Weeks,Industry Rank (of ABR),Current Avg Broker Rec,% Rating Strong Sell or Sell,# Rating Hold,# Rating Strong Sell or Sell,# Rating Downgrades ,# Rating Upgrades,# Rating Strong Buy or Buy,% Rating Strong Buy or Buy,Exchange,F(1) Consensus Sales Est. (Mil.),% Price Change (1 Week),Common Equity,Intangibles,Preferred Equity,Long Term Debt ,Current Assets ,Inventory ,Receivables ,Operating Margin 12 Mo,Net Margin,Inventory Turnover,Asset Utilization,5 Yr Hist. Div. Growth %,Book Value,Current Liabilities ,Relative Price Change,Q0 Consensus Est. (last completed fiscal Qtr),Q1 Consensus Est. ,Cost of Goods Sold,EBITDA ,Current Ratio,Debt/Total Capital,Debt/Equity Ratio,Quick Ratio,Cash Ratio,Turnover,Dividend ,5 Yr Div. Yield %,Current ROA (TTM),ROA (5 Yr Avg),ROI (5 Yr Avg),P/E (F1),Current ROI (TTM),Current ROE (TTM),St. Dev. Q2 / Q2 Consensus,Price/Cash Flow,P/E (F2),Price/Sales,Price/Book,P/E (Trailing 12 Months),Market Value/# Analysts,Long-Term Growth Consensus Est.,Div. Yield %,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,EBIT ,Pretax Income ,% Price Change (YTD),Annual Sales,PEG Ratio,5 Yr. Hist. EPS Growth,% Change EPS (F(-1)/F(-2)),S&P 500,
HARLEY-DAVIDSON,HOG,1061.86596,1.5,-.06,-2.97,-.66,15,10.96,10.26,.68999,.69,3.28,3.86,0,.61,.61,.01081,7.48,6.39,96.18,47.39,17.02,20.59,3.26,1.34,.12,-6.06,4.38,3.84,0,46.15,1.61,5.3,14.5,65.71,73.94,55.48,55.42,217.46,2421526.75,14289.56,Auto-Tires-Trucks,YES,AUTO -DOMESTIC,72.14,13,0,4,3.64,90,2.04,0,6,0,0,0,7,53.85,NYSE,5664.24414,1.19,3009.47998,30.45,0,3416.70996,3988.80004,424.5,261.05999,15.18,.14,8.7817,.56771,27.749,15.1,2509.58007,-13.64,.6,.33,3561.3999,1422.17004,1.55,52.10499,1.09,1.42,1.31625,4.12669,.83999,1.4,8.62,5.4505,7.81199,17.12,12.58,26.38,.02,14.58,15,2.57,4.35,17.02,1190.79663,12.35,1.67,22.51037,15.95,17.64168,996.61297,733.98999,1159.55004,1114.30004,-5.1,5258.29,1.39,47.73,15.95,YES,
HONEYWELL INTL,HON,10392.54199,.09,-.77,-3.46,0,1.42,1.47,1.53,1.42999,1.43,4.97,5.33,0,-.45,-.89,.00339,5.59,3.69,114.88,99.62,11.47,10.94,4.95,1.41,.01,0,6.12,5.54,0,25,1.31,2.46,7.73,96.71,97.34,85.11,94.85,782.81,4250739.5,75705.56,Conglomerates,YES,DIVERSIFIED OPS,105.21,16,0,14,-2.09,64,1.53,0,4,0,0,0,12,75,NYSE,40414.64453,1.17,17579,15560,0,6801,21164,4293,7929,10.48,.1,6.55579,.87889,10.48799,24.35,14181,-3.68,1.41,1.42,28364,6728,1.6,26.75699,.35,1.19,.63056,4.94899,1.67999,2.43,9.22,7.6114,16.26899,17.46,16.71,23.07,.02,15.31,15.8,1.87,3.97,18.14,5407.54003,10.25,1.86,27.13299,31.04,34.10799,4952.86523,3924,5739,5412,5.84,39055,1.7,19.3,31.04,YES,
STARWOOD HOTELS,HOT,1538.55603,-.34,-1.09,-2.17,0,1.54,1.32,4.91,.66,.66,2.99,2.79,0,-2.18,-12.57,.00842,5.82,-3.26,104.74,115.85,-5.27,14.56,2.95,.65,.02,0,3.19,2.83,0,21.05,1.96,-6.19,1.26,77.03,84.65,70.87,44.7,178.57,3178404.75,13755.63,Consumer Discretionary,YES,HOTELS & MOTELS,87.24,19,0,6,0,63,1.47,0,4,0,0,0,15,78.95,NYSE,6034.76416,-.18,3363,2032,0,1523,1996,217,643,8.86,.1,21.56399,.69146,66.608,11.28,1924,-11.77,.65,.76,4538,1109,.91,52.26499,1.09,.92,.59043,9.47239,1.35,1.16,6.12,4.4587,7.94689,27.2,11.18,17.73,.06,19.41,24.14,2.29,6.83,27.61,809.15484,8.26,1.82,-13.142,-18.8,12.98932,760,635,928,828,-3.05,6115,3.29,29.17,-18.8,YES,
HELMERICH&PAYNE,HP,1023.70898,-1.01,-.59,-.37,-.04,-.62,8.16,4.32,1.61,1.61,5.63,6.2,0,-1.52,0,.04076,19.94,7.48,121.25,,18.17,9.11,6.27,1.8,.03,-.6,8.04,7.41,0,42.11,1.34,-13.09,.42,85.72,118.29,75.67,23.58,108.23,1907384.63,9277.22,Oils-Energy,YES,OIL & GAS-DRILLING,106.13,19,.11,25,7.65,162,2.54,15.79,8,3,0,0,8,42.11,NYSE,4313.60498,1.07,4443.72021,0,0,80,1258.20996,88.86,621.41998,18.82,,19.809,.55612,80.396,44.56,452.26998,-7.23,1.68,1.75,1852.76,1576.03002,2.89,1.633,,,,5.57019,2.4375,1.02,10.47,8.85739,12.236,11.56,14.37,14.61,.04,8.55,10.66,2.58,1.92,13.83,545.71875,12.5,3.21,,-4.84,26.77785,1067.24194,736.63,1120.41003,1114.29003,1.95,3387.61,.92,24.85,-4.84,YES,
HEWLETT PACKARD,HPQ,27673.51953,.11,.69,.06,-.11,0,0,1.72,.88999,.89,3.56,3.68,0,.16,0,.00966,-1.91,-6.7,91.39,,5.8,-12.1,3.73,.95,.05,-.95,4.09,3.94,0,50,1.5,1.57,5.33,36.15,38.16,24.94,84.8,1866.28,13826323,67465.85,Computer and Technology,YES,COMP-MINI,38.64,20,0,3,-1.95,170,2.2,5,10,1,0,0,9,45,NYSE,110747.86718,2.35,27656,34293,0,16608,50364,6046,19020,6.32,,14.22599,1.07389,18.104,15.44,45521,17.57,1.05,.92,86380,11742,1.16,37.21099,,,,6.38339,.6104,1.75,6.79,7.6879,16.684,9.17,15.57,25.04,.03,6.02,8.85,.6,2.34,9.82,4216.61572,4.13,1.77,,261.55,140.41897,11536.60058,5113,7131,6510,29.2,112298,2.22,-4.37,261.55,YES,
BLOCK H & R,HRB,413.69,.21,0,1.65,0,2.44,5.33,-220.19,-.40001,-.4,1.67,1.76,0,0,0,.02904,-8.46,4.07,56.67,,15.33,5.03,1.63,3.02,-1.27,0,2.21,1.93,0,0,1.05,-2.56,11.99,32.41,33.84,27.36,77.93,275.09,2072109.75,8915.6,Consumer Discretionary,YES,CONS SERVICES - MISC,36.6,5,0,,0,,1.1,0,0,0,0,0,5,100,NYSE,3221.51,2.37,1556.54003,791.72998,0,505.82998,3114,0,191.61,16.38,.16,,.78851,8.94309,5.09,2313.1101,1.56,-.42,-.24,816.61999,940.36999,1.36,26.576,,1.35,1.2634,10.79699,.8,3.7,12.92,9.66979,23.30299,16.83,30,43.21,.09,15.37,14.66,2.94,6.36,18.42,1783.12048,11,2.47,,11.24,9.4967,578.065,475.14999,824.48999,767.10998,11.6,3024.29,1.53,-1.62,11.24,YES,
HORMEL FOODS CP,HRL,2433.10009,0,0,0,0,6.25,-8.77,1.22,.50999,.51,1.95,2.18,0,0,0,.02392,7.18,6.33,111.21,,14.78,4.84,2.23,.63,.01,,2.82,2.56,0,60,.57,15.21,5.66,54.54,54.54,42.23,100,263.46,721898.44,14368.95,Consumer Staples,YES,FOOD-MEAT PRODS,54.75,5,.1,3,-4,232,2.6,0,3,0,0,0,2,40,NYSE,10004.0996,2.15,3316.57006,1312.56005,0,250,2047.41003,967.96997,551.5,6.47,,7.5258,1.796,17.01,13.56,784,9.87,.64,.64,7338.83007,935.79998,2.86,6.5281,,,,17.086,.8,1.84,11.63,11.06099,16.25799,21.28,15.88,17.02,.01,22.11,19.34,1.58,4.02,25.02,3592.23632,8,1.47,,17.4,5.23148,651.06097,526.21002,810.95001,798.5,20.74,8751.65,2.66,9.99,17.4,YES,
HARRIS CORP,HRS,1176.77502,-.21,-.59,-.68,.49,7.27,.79,5.83,1.17999,1.18,5.05,5,0,-.75,,.01512,-1.75,-1.95,92.28,99.32,-3.76,3.06,4.98,1.24,.04,-1.71,5.05,4.86,0,40,1.32,2.42,11.08,70.66,77.55,61.52,57.02,104.59,607826.69,7390.47,Computer and Technology,YES,WIRELESS EQUIPMENT,71.25,5,0,18,-2.86,112,3.6,40,2,2,0,0,1,20,NYSE,4860.06005,2.44,1825.40002,1968.69995,0,1575.80004,1991.30004,618.70001,594.20001,10.8,.11,5.0173,1.01489,18.368,17.19,1114.59997,-7.89,1.1,1.17,3310.5,1093.30004,1.78,46.735,.88,1.23,.69836,7.16849,1.67999,2.53,10.96,11.052,16.02499,14.54,16,30.15,.02,10.11,13.98,1.49,4.11,14.13,1847.61779,,2.66,373.27432,64.54,373.27432,744.09997,534.79998,889,795.40002,1.22,5012,,3.64,64.54,YES,
HOSPIRA INC,HSP,1115.36804,2.26,-3.2,-2.16,-.94,39.62,28.57,23.16,.74,.74,2.09,2.57,0,-.2,0,.00823,1.27,-2.18,98.47,67.87,16.27,3.98,2.08,.53,.1,4,2.32,2.43,0,81.82,.54,1.67,10.99,56.64,56.64,38.53,100,168.73,1137368.88,9556.98,Medical,YES,MED PRODUCTS,55.25,11,0,71,0,25,3,9.09,9,1,0,0,1,9.09,NYSE,4381.48388,4.42,2961.8999,1229.90002,0,1747,2838.5,1066.19995,675.59997,9.19,0,2.54189,.691,,19.45,1165.09997,24.86,.53,.5,2922.30004,220.5,2.36,34.98099,.52,1.52,.94129,5.89909,0,0,6.92,7.60799,9.72389,23.31,8.19,13.78,.12,15.53,24.37,2.16,2.85,22.04,1911.39611,13.46,0,568.27954,1006.58,-118.75566,605.09997,-8.29,-37,-123.2,37.21,4002.8,1.73,-11.98,1006.58,YES,
HOST HOTEL&RSRT,HST,1367.09594,.89,-.82,.3,0,6.25,0,5.68,.34,.34,1.31,1.43,0,.97,3.01,.00926,6.67,-2.27,117.02,113.57,12.39,19.09,1.29,.37,.01,-2.56,1.63,1.47,0,41.18,1.8,2.84,7.6,22.79,23.31,17.85,90.48,757.32,9752321,17259.3,Finance,YES,REIT-EQTY TRUST -OTHER,23.22,17,0,60,10.81,187,1.94,0,7,0,0,0,10,58.82,NYSE,5366.07812,-.83,7262,0,0,4759,945,0,52,7.92,.06,,.43465,102.94599,9.72,214,6.68,.32,.39,3460,1267,2.35,36.45199,.55,4.42,4.17289,47.902,.46,1.62,3.44,.32416,.34463,15.48,3.61,5.79,.03,18.45,13.99,3.22,2.35,15.94,1327.63854,8.55,3.51,205.1282,187.56,419.67211,934,317,535,231,17.23,5166,1.81,22.75,187.56,YES,
HERSHEY CO/THE,HSY,2080.0769,-1.06,-.59,.72,-.53,-2.78,0,-.62,1.04999,1.05,3.72,3.82,0,-1.72,-.78,.00228,7.31,7.55,123.76,101.36,7.9,14.81,3.71,1.27,.01,0,4.41,4.01,0,60,.17,4.87,3.63,96.82,108.07,88.15,43.52,220.87,1144253.25,21384.44,Consumer Staples,YES,FOOD-CONFECTNRY,103.83,10,0,1,8,211,2.3,0,6,0,0,0,4,40,NYSE,7491.87402,2.11,1616.05004,771.79998,0,1795.14001,2487.33007,659.53997,477.91,11.68,.11,5.2505,1.3465,12.397,7.25,1408.02001,-9.39,1.08,1.06,3865.22998,1540.68994,1.16,49.241,.97,1.3,.9587,12.767,1.80999,2.37,15.72,15.74499,26.84,24.12,25.59,52.92,.01,20.71,21.97,2.9,13.3,25.35,2673.05493,9.57,2.21,15.33341,5.9,24.13871,1045.34997,820.46997,1339.66003,1251.31005,-.42,7146.08,2.52,12.18,5.9,YES,
HUMANA INC NEW,HUM,12473.34277,-.05,.52,-.17,-.12,0,21.13,3.52,2.19,2.19,8.72,7.65,0,.06,0,.0207,7.56,5.59,51.03,,-11.46,24.75,8.75,2.32,.09,-5.08,8.86,7.72,0,44.44,.7,16.43,11.87,139.87,139.87,93.95,100,154.26,1114609.75,21575.65,Medical,YES,MED-HMO,133.4,18,0,6,-2.92,189,2.17,5.56,8,1,0,0,9,50,NYSE,48691.58984,1.96,9316,3733,0,2600,12300,0,950,2.71,.03,,2.03559,3.8099,64.61,6323,23.31,2.01,1.18,32564,2487,1.79,20.603,,1.95,1.79503,33.48899,1.07,.81,5.52,6.93109,13.133,18.12,9.82,12.47,.12,11.87,15.79,.49,2.16,18.28,1269.15563,9.58,.8,,-30.51,.73649,1814.55895,1231,2061,1921,35.51,41313,1.89,7.21,-30.51,YES,
INTL BUS MACH,IBM,24880.29101,-9.98,-13.79,-19.94,-.14,-14.42,.23,-3.05,3.68,3.68,16.28,16.67,0,-14.92,-21.79,.00675,.27,-4.55,89.53,149.14,-.85,6.75,16.9,3.19,.02,0,16.94,16.14,0,66.67,.63,-14.06,-13.39,161.46,197.77,161.46,0,989.66,7180615,159790.52,Computer and Technology,YES,COMPUTER-INTEGRATED SYSTEMS,176.53,18,0,11,-6.84,56,2.78,11.11,12,2,0,0,4,22.22,NYSE,93787.82031,-1.76,22929,35055,0,32856,51350,2310,1584,17.82,.17,21.002,.78801,14.55099,14.55,40154,-21.67,4.3,5.49,51246,24604,1.11,69.512,2.28,1.22,1.18184,61.965,3.7,1.84,14.04,14.373,36.151,10,33.55,96.53,.09,7.74,9.53,1.65,11.1,9.69,17754.50195,6.7,2.73,5.22777,-21.13,-.72875,22637,16483,19926,19524,-13.92,99751,1.49,12.7,-21.13,YES,
INTERCONTNTLEXC,ICE,769.30999,2.87,7.66,12.3,-.54,6.44,3.96,2.72,2.15,2.15,8.17,8.85,9.09,3.99,-3.91,.03518,17.39,31.7,119.85,111.49,11.67,7.5,8.2,2.77,.07,.83,11.54,9.12,0,18.18,.87,16.17,8.33,219.92,227.82,183.45,82.19,112.71,916031.13,24786.53,Finance,YES,SECURITIES EXCHANGES,236.56,11,.18,,9.09,,1.82,9.09,2,1,1,0,8,72.73,NYSE,3116.03295,7.95,12615,18905,0,3923,44259,0,482,29.15,.14,,.04859,,115.31,44342,-11.03,2.02,2.4,60,686,1,14.47799,.18,1,.98725,7.37869,.64999,.22,1.47,1.5326,12.79399,24.1,6.63,7.61,.05,20.66,19.06,6.73,1.97,24.85,2754.05834,14.16,1.18,-17.47691,-7.43,-53.98551,776,254,556,500,-2.22,1795,1.7,15.73,-7.43,YES,
INTL F & F,IFF,737.87799,.12,-2.99,.28,.64,0,1.48,2.05,1.32,1.32,4.46,4.93,0,-.02,30.04,.00859,5.22,4.66,111.96,78.03,13,12.06,4.46,1.41,.01,0,5.47,5.04,0,33.33,.87,-1.54,6.27,98.94,105.43,83.84,69.94,80.97,609868.13,8011.37,Basic Materials,YES,CHEM-SPECIALTY,107.71,9,-.12,10,6.43,155,1.78,0,3,0,0,0,6,66.67,NYSE,3073.46411,2,1467.05004,696.19,0,932.65997,1652.90002,533.79998,524.48999,13.13,.12,3.11319,.90477,12.60599,19.71,560.35998,4.71,1.32,1.03,1668.68994,615.19,3.31,36.796,.57,2,1.06112,5.4127,1.46,1.99,11.96,10.291,15.50399,19.63,16.28,25.95,.01,17.88,18.09,2.62,4.89,20.07,890.15222,10.75,1.9,36.04166,7.14,39.11777,451.17199,353.54,531.96997,485.20999,15.07,2952.9,1.83,11.92,7.14,YES,
INTEL CORP,INTC,14721.12695,2.61,1.75,7.37,.16,1.54,5.77,2.02,.66,.66,1.89,2.1,0,1.35,0,.0048,7.74,-1.19,130.17,100.59,18.79,-12.5,1.89,.52,.02,0,2.39,2.25,0,40.63,.92,-.35,.59,33.82,35.33,23.52,87.21,4835,40539428,163519.7,Computer and Technology,YES,SEMI-GENERAL,35.87,32,0,4,-3.39,186,2.13,9.38,13,3,0,0,16,50,NSDQ,55862.6875,3.81,58256,15663,0,13165,32084,4172,3582,19.43,.18,5.1082,.59975,10.43599,11.51,13568,18.57,.65,.66,21187,20643,1.85,17.517,.21,2.06,1.79318,15.463,.89999,3.4,11.65,15.42199,19.722,15.06,15.04,18.38,.07,9.52,14.13,2.97,2.94,16.1,7786.65234,8.36,2.66,8.78228,12.91,-12.58519,17652,9620,12611,12611,30.3,52708,1.8,5.7,12.91,YES,
INTUIT INC,INTU,784.43402,0,0,0,0,-200,-2.29,-198.07,-.15001,-.15,3.01,2.99,0,.06,0,.01687,7.53,8.03,179.17,,-35.61,6.74,3.12,2.91,-.1,,3.15,1.94,0,41.67,.73,6.35,8.95,89.13,89.13,69.72,100,285.54,1508249.25,25450.18,Computer and Technology,YES,COMP-SOFTWARE,87.8,12,0,54,0,53,2.17,8.33,5,1,0,0,6,50,NSDQ,4330.25976,2.65,3078,1834,0,499,2621,0,169,19.35,.2,,.91973,11.15999,10.84,1421,6.27,-.34,-.32,668,1542,1.84,13.94999,,1.84,1.72554,12.44799,.75999,.63,17.8,14.78899,22.19099,45.99,27.31,32.37,.04,23.65,28.28,5.65,8.22,29.81,5090.03613,12.88,1.12,,4.55,5.71095,1069.95397,907,1345,1314,16.78,4506,3.57,13.81,4.55,YES,
INTL PAPER,IP,5867.47509,-3.6,.28,-9.93,-9.59,7.95,15.85,6.56,.94999,.95,3.16,3.34,0,-2.66,-3.51,.01979,5.05,4.48,102.41,89.47,5.82,19.25,3.22,.88,.09,-2.35,3.94,3.34,0,25,1.45,9.7,11.69,52.47,52.6,43.1,98.63,427.02,3970851.5,22405.85,Basic Materials,YES,PAPER &REL PRDS,56,12,0,9,8.7,227,1.75,8.33,3,1,0,0,8,66.67,NYSE,25849.12109,4.31,8284,3987,0,8827,9025,2825,3756,5.24,.05,7.22529,.9197,52.03499,17.75,5127,-2.62,.88,.85,21223,3535,1.67,53.91299,1.29,1.21,.47669,7.36689,1.25,2.6,4.74,3.72569,6.64989,15.69,9.01,18.91,.09,6.67,13.32,.81,3.21,15.71,2240.58447,11,2.67,-15.72927,-28.22,75.69269,3492,1395,1461,849,7.02,29080,1.43,28.7,-28.22,YES,
INTERPUBLIC GRP,IPG,2185.427,-1,50,-2.17,-.68,0,0,9.84,.20999,.21,.78,.97,0,-.09,0,.01282,3.88,2.39,103.32,275.51,26.41,-4.88,.82,-.01,.01,0,1.17,.99,0,30,2,-2.32,13.59,19.39,20.54,16.05,74.39,418.23,5033146,8109.46,Business Services,YES,ADVERTISING/MKTG SVCS,21.43,10,0,6,0,44,1.6,0,3,0,0,0,7,70,NYSE,7505.41699,.99,2250.80004,3629,0,1129.80004,8084,0,6101.7998,5.62,.04,,.6111,16.18799,5.06,8165.2998,-.31,.21,.58,6463.3999,799.79998,1.04,47.076,.77,.99,.24275,1.26989,.3,1.53,3.43,2.7158,8.0831,19.67,10.97,19.12,-2,14.51,16.6,1.09,3.83,19.99,810.9461,11,1.96,-22.78542,-7.6,-40.02687,556.20001,267.89999,590.70001,468,9.55,7122.3,1.79,29.6,-7.6,YES,
INGERSOLL RAND,IR,3210.51098,-.59,9.04,-9.23,-.26,5.77,1.8,6.31,1.1,1.1,2.67,3.13,0,-.26,-10.25,.01278,-.32,-12,116.23,64.45,20.51,-18.84,2.62,.42,.07,0,3.88,3.22,0,66.67,1.43,3.78,13.11,63.16,71.42,53.57,53.72,265.47,2777405.5,16767.21,Industrial Products,YES,MACH-GENL INDL,68.09,15,0,25,0,163,2.4,0,10,0,0,0,5,33.33,NYSE,12858.08691,2.32,7131.2998,9462.5996,0,3153.5,5716.70019,1166.09997,2071.5,6.84,.05,6.68069,.74497,38.125,23.68,3408.60009,-6.7,1.04,.71,8675.5,1442.09997,1.25,29.471,.42,1.34,.7273,5.72399,.83999,1.21,5.09,4.6785,8.8006,19.63,9.21,13.28,.09,16.31,16.28,1.32,2.65,20.18,1397.2677,14.25,1.58,-37.81173,-10.26,-39.24996,1115.69995,618.79998,1108.40002,829.59997,2.53,12350.5,1.38,13.48,-10.26,YES,
IRON MOUNTAIN,IRM,787.51898,-4.51,-13.89,-4.26,-1.08,-10.26,5.13,-9.24,.34999,.35,1.03,1.17,0,-7.52,0,.02117,-.41,.69,203.33,87.14,34.95,-14.88,1.09,.31,.06,-3.23,1.34,1.39,0,55.56,.83,4.95,12.7,36.47,36.65,25.9,98.33,193.7,2095633,7064.38,Business Services,YES,BUSINESS SERVICES,38.4,9,0,34,12.04,28,2.11,0,5,0,0,0,4,44.44,NYSE,3125.6621,3.08,1057.82995,3068.83007,0,4119.12988,933.59997,0,616.78997,7.29,.03,,.46511,37.118,2.41,959.09997,9.35,.39,.31,1288.86999,746.46997,.61,90.25599,9.26,.97,.33032,4.9755,1.08,2.74,3.39,3.4044,4.3866,26.24,4.33,23.39,.06,13.31,27.22,2.27,15.11,31.17,1009.19781,7.25,5.21,193.44644,377.72,-43.35469,523.85101,97.26,417.17999,163.00999,20.17,3025.92,3.62,.82,377.72,YES,
INTUITIVE SURG,ISRG,581.27801,5.15,,4.06,0,20.9,.36,3.53,3.24,3.24,16.73,12.96,0,.77,1.46,.01089,16.53,3.96,78.89,104.22,-26.94,4.69,16.32,3.3,.02,0,15.23,12.22,0,29.41,.74,10.48,6.78,508.65,540.63,352.35,83.01,36.25,395997.16,18439.58,Medical,YES,MED INSTRUMENTS,517.14,17,0,54,11.11,23,1.88,5.88,5,1,0,0,11,64.71,NSDQ,2108.55688,3.81,3501.3999,231.5,0,0,1932.40002,179.6,301.39999,23.49,.3,3.5741,.55344,,85.08,380.89999,20.51,2.68,3.38,670.90002,975,3.31,0,0,4.6,3.81044,7.85729,0,0,13,16.704,19.22699,41.61,15.13,15.13,,24.98,33.4,8.77,5.98,39.25,6146.52685,8.47,0,-33.26254,-35.53,2.19311,775.09997,671,870.90002,870.90002,32.43,2265.1,4.91,19.69,-35.53,YES,
ILL TOOL WORKS,ITW,3624.62304,.65,-.3,-1.1,-.31,4.07,.83,2.27,1.27999,1.28,3.63,4.42,0,-.2,-10.71,.00374,.35,-21.14,122.55,88.09,27.19,-11.25,3.61,1.19,.01,0,5.22,4.62,0,29.41,1.28,7.18,13.81,92.96,92.96,76.78,100,390.93,2248587.25,36341.23,Industrial Products,YES,MACH-GENL INDL,93.92,17,0,13,0,163,1.9,5.88,5,1,0,0,11,64.71,NYSE,14569.9082,3.27,9709,6885,0,2793,9816,1247,2365,12.63,.12,6.82849,.73496,7.97259,19.67,6034,.61,1.23,1.13,8554,3199,2.36,43.61399,.77,1.42,1.02817,5.7876,1.6,2.5,9.28,9.39009,12.909,20.13,13.53,21.27,.04,18.4,17.8,2.5,4.72,21.03,2595.802,8.33,2.09,21.66235,29.07,-41.49826,2243,1679,2586,2347,10.56,14135,2.42,14.05,29.07,YES,
INVESCO LTD,IVZ,1334.18994,-.43,-1.95,-3.17,-1.12,3.23,12.07,6.53,.63999,.64,2.13,2.47,0,-3.24,2.54,.0108,12.48,11.19,107.59,97.5,17.8,11.52,2.11,.65,.02,0,2.76,2.51,0,30.77,2.09,4.3,9,40.95,41.25,31.77,96.83,430.83,3061235.75,17642.37,Finance,YES,FIN-INVEST MGMT,44.11,13,0,23,0,147,1.77,0,4,0,0,0,9,69.23,NYSE,5266.72998,3.2,8977.2998,8131,0,5770.2998,10614,0,1491.5,20.9,.2,,.25606,24.149,21.17,4199.2998,2.37,.62,.62,1489.19995,1511.5,3.05,41.401,.69,2.53,2.17238,2.8173,.8475,2.39,5.35,4.13749,5.234,16.32,6.97,11.72,.01,17.36,14.81,3.46,1.93,16.58,1470.19714,12.65,2.44,29.6645,23.92,38.87166,1045.69995,940.29998,1423.09997,1255.19995,12.5,4644.6,1.29,21.45,23.92,YES,
JABIL CIRCUIT,JBL,4321.68994,0,0,0,28.57,157.14,20,65.29,.03999,.04,.49,.58,0,0,,.00466,8.52,-14.04,63.49,1000,209.18,-74.61,.46,.29,0,,1.8,1.51,0,55.56,1.77,3.59,8.77,21.09,21.87,15.67,87.42,199.83,4891254.5,4214.42,Computer and Technology,YES,ELEC MANUF SVS (EMS),23.44,9,0,1,0,230,2.11,0,5,0,0,0,4,44.44,NYSE,17235.14453,3.53,2260.3601,627.70001,0,1669.57995,5359.00976,2008.06994,1230.91003,.74,.02,7.5015,1.8939,3.93059,11.31,4321.08984,10.04,-.07,.4,14736.54003,687.44,1.24,42.484,.74,.78,.49062,13.68299,.31999,1.65,1.4,4.57889,10.276,13.92,2.94,5.03,.12,7.17,11.72,.26,1.86,36.36,2107.20751,,1.52,20.55521,-35.04,-35.04093,587.49102,241.30999,200.16999,72.12,20.93,15762.15,,13.8,-35.04,YES,
JOHNSON CONTROL,JCI,10935.58203,-1.93,-1.78,-3.57,-.26,2.97,2.44,.97,1.03999,1.04,2.66,3.21,0,-2.73,-8.58,.02461,7.26,.23,110.41,73.25,14.14,2.7,3.16,.77,.01,0,4.2,3.61,0,52.63,1.66,3.67,16.86,49.41,51.92,39.9,79.12,665.5,4587699,32882.36,Auto-Tires-Trucks,YES,AUTO/TRUCK-ORIG,54.21,19,0,25,-11.76,128,2.32,5.26,10,1,0,0,8,42.11,NYSE,43668.74218,7.91,11562,8766,0,6357,12986,2477,5871,5,.03,14.428,1.3536,12.50199,17.36,11648,-12.36,1.01,.76,36201,3234,1.11,36.16699,.55,.9,.39817,6.55159,.87999,1.98,6.77,5.57989,10.288,13.68,12.25,18.22,.06,13.12,11.75,.76,2.85,15.39,1934.25646,12.41,1.78,-5.07043,3.14,3.14091,2508,1215,2279,2035,-3.68,42828,1.1,16.46,3.14,YES,
JACOBS ENGIN GR,JEC,3355.76806,-.61,-.81,-.61,0,5,-7.87,-2.27,.83999,.84,3.23,3.21,0,0,0,.05877,3.99,8.49,107.54,,16.38,11,3.29,.95,.05,,4.35,3.83,0,47.06,1.48,-8.09,1.42,47.92,66.81,45.23,12.47,133.06,1405078.25,6376.09,Construction,YES,ENGINRG/R&D SVS,62.21,17,0,5,0,181,2,0,8,0,0,0,9,52.94,NYSE,13787.28808,1.63,4248.33007,2022.82995,0,415.07998,4039.55004,0,2548.98999,3.37,,,1.5635,,34.27,1887.60998,-30.77,.86,.9,9976.0498,773.30999,1.73,14.833,,,,4.72039,0,0,5.27,6.1529,10.166,12.5,8.18,9.66,.11,12.07,11.02,.51,1.4,14.93,375.06417,11.49,0,,-15.93,11.64797,521.96301,423.08999,674.44,661.53997,-23.92,11818.38,1.09,4.72,-15.93,YES,
